"country","barrelsPerDay","pop2023"
"United States",19690000,339996563
"China",11750000,1425671352
"India",4489000,1428627663
"Japan",4026000,123294513
"Russia",3594000,144444359
"Saudi Arabia",3237000,36947025
"Brazil",3018000,216422446
"South Korea",2630000,51784059
"Germany",2410000,83294633
"Canada",2379000,38781291
"Mexico",2027000,128455567
"Iran",1922000,89172767
"France",1661000,64756584
"Indonesia",1615000,277534122
"United Kingdom",1586000,67736802
"Singapore",1582000,6014723
"Spain",1287000,47519628
"Thailand",1272000,71801279
"Italy",1253000,58870762
"Australia",1100000,26439111
"Netherlands",973000,17618299
"Taiwan",955300,23923276
"Turkey",943700,85816199
"United Arab Emirates",901000,9516871
"Iraq",850000,45504560
"Argentina",803000,45773884
"Egypt",802000,112716598
"Malaysia",760000,34308525
"Venezuela",747000,28838499
"Belgium",662400,11686140
"South Africa",660000,60414495
"Poland",578200,41026067
"Pakistan",517000,240485658
"Kuwait",500000,4310108
"Philippines",455500,117337368
"Algeria",428000,45606480
"Vietnam",422000,98858950
"Hong Kong",388500,7491609
"Colombia",345000,52085168
"Chile",337400,19629590
"Sweden",320200,10612086
"Nigeria",316000,223804632
"Greece",299600,10341277
"Morocco",286000,37840044
"Qatar",280000,2716391
"Ecuador",274000,18190484
"Austria",267500,8958960
"Libya",262000,6888388
"Ukraine",248000,36744634
"Peru",240000,34352719
"Portugal",234700,10247605
"Norway",227700,5474360
"Switzerland",217400,8796669
"Finland",200700,5545475
"Israel",199900,9174520
"Kazakhstan",186300,19606633
"Romania",182000,19892812
"Czech Republic",180400,10495295
"Cuba",180000,11194449
"Oman",176000,4644384
"Belarus",172000,9498238
"New Zealand",167700,5228100
"Jordan",160000,11337052
"Denmark",158200,5910913
"Turkmenistan",158000,6516100
"Hungary",157200,10156239
"Puerto Rico",155000,3260314
"Ireland",151700,5056935
"Panama",144000,4468087
"Lebanon",143000,5353930
"Angola",142000,36684202
"Yemen",140000,34449825
"Syria",140000,23227014
"United States Virgin Islands",132000,98750
"Afghanistan",130000,42239854
"Dominican Republic",114000,11332972
"Sudan",110000,48109006
"Bangladesh",107000,172954319
"Sri Lanka",107000,21893579
"Azerbaijan",101000,10412651
"Tunisia",98000,12458223
"Guatemala",94770,18092026
"Kenya",93000,55100586
"Bulgaria",89000,6687717
"Bolivia",85580,12388571
"Slovakia",84290,5795199
"Gibraltar",70000,32688.000000000004
"Serbia",66230,7149077
"Ethiopia",65000,126527060
"Ghana",64320,34121985
"Croatia",63850,4008617
"Uzbekistan",61000,35163944
"Tanzania",60000,67438106
"Bahrain",58000,1485509
"Jamaica",57600,2825544
"Luxembourg",56120,654768
"Costa Rica",54000,5212173
"Uruguay",54000,3423108
"Lithuania",53000,2718352
"Slovenia",52300,2119675
"Honduras",52000,10593798
"Trinidad and Tobago",46000,1534937
"Cyprus",46000,1260138
"Senegal",44000,17763163
"Benin",44000,13712828
"Ivory Coast",43000,28873034
"Cameroon",42000,28647293
"Papua New Guinea",42000,10329931
"Malta",42000,535064
"Cambodia",39000,16944826
"Paraguay",38000,6861524
"Latvia",37680,1830211
"El Salvador",36230,6364943
"Kyrgyzstan",33000,6735347
"Nepal",32000,30896590
"Bosnia and Herzegovina",31000,3210847
"DR Congo",30000,102262808
"Nicaragua",30000,7046310
"Estonia",29140,1322765
"Zimbabwe",29000,16665409
"Uganda",27000,48582334
"Albania",27000,2832439
"Mongolia",26000,3447157
"Mauritius",26000,1300557
"Namibia",25000,2604172
"Bahamas",24000,412623
"Mozambique",23000,33897354
"Zambia",23000,20569737
"Tajikistan",23000,10143543
"Georgia",23000,3728282
"Botswana",23000,2675352
"Burkina Faso",22000,23251485
"Gabon",22000,2436566
"Moldova",21720,3435931
"Iceland",19800,375318
"Haiti",19000,11724763
"North Korea",18000,26160821
"Republic of the Congo",18000,6106869
"Brunei",18000,452524
"New Caledonia",17000,292991
"Guinea",16000,14190612
"Mauritania",16000,4862989
"Fiji",16000,936375
"Guam",15400,172952
"Madagascar",15000,30325732
"Togo",14000,9053799
"Suriname",14000,623236
"Niger",13000,27202843
"Guyana",13000,813834
"Macau",12700,704149
"Barbados",12000,281995
"South Sudan",11000,11088796
"Maldives",11000,521020.99999999994
"Armenia",8000,2777970
"Mali",7500,23293698
"Sierra Leone",7500,8791092
"Montenegro",7500,626485
"Aruba",7500,106277
"Malawi",7000,20931751
"French Polynesia",7000,308872
"Liberia",6600,5418377
"Seychelles",6500,107660
"Rwanda",6000,14094683
"Djibouti",6000,1136455
"Greenland",6000,56643
"Somalia",5700,18143378
"Equatorial Guinea",5200,1714671
"Lesotho",5000,2330318
"Eswatini",5000,1210822
"Antigua and Barbuda",5000,94298
"Cayman Islands",4000,69310
"Faroe Islands",3947,53270
"Belize",3700,410825
"Eritrea",3600,3748901
"Gambia",3600,2773168
"Laos",3500,7633779
"Bermuda",3300,64069
"Saint Lucia",3100,180251
"Central African Republic",3000,5742315
"Bhutan",3000,787424
"Guinea-Bissau",2500,2150842
"American Samoa",2375,43914
"Chad",2200,18278568
"Marshall Islands",2000,41996
"Saint Kitts and Nevis",1900,47755
"Western Sahara",1700,587259
"Solomon Islands",1600,740424
"Saint Vincent and the Grenadines",1600,103698
"Burundi",1500,13238559
"Tonga",1500,107773
"Turks and Caicos Islands",1340,46062
"Comoros",1300,852075
"British Virgin Islands",1200,31538
"Samoa",1100,225681
"Vanuatu",1000,334506
"Sao Tome and Principe",1000,231856
"Dominica",1000,73040
"Grenada",860,126183
"Saint Pierre and Miquelon",630,5840
"Montserrat",570,4386
"Cook Islands",530,17044
"Kiribati",400,133515
"Nauru",400,12780
"Falkland Islands",300,3791
"Niue",60,1935