"country","oilReserves2022","oilReserves2020"
"Saudi Arabia",267192,297500
"Iran",208600,157800
"Iraq",145019,145000
"Kuwait",101500,101500
"Russia",80000,107800
"United States",55251,68800
"Libya",48363,48400
"Nigeria",36967,36900
"Kazakhstan",30000,30000
"China",27003,26000
"Brazil",13242,11900
"Algeria",12200,12200
"Mexico",5558,6100
"Canada",4731,168100
"Vietnam",4400,4400
"India",4370,4500
"Egypt",3300,3100
"Argentina",2838,2500
"Angola",2550,7800
"Indonesia",2250,2400
"DR Congo",1811,
"Thailand",,300
"Sudan",5000,1500
"Colombia",2040,2000
"United Kingdom",1800,2500
"Uzbekistan",594,600
"Ukraine",395,
"Yemen",,3000
"Peru",,700
"Venezuela",303221,303800
"Malaysia",3600,2700
"Syria",2500,2500
"Australia",1803,2400
"Romania",,600
"Chile",150,
"Chad",,1500
"Qatar",25244,25200
"Ecuador",8273,1300
"Tunisia",,400
"South Sudan",,3500
"United Arab Emirates",113000,97800
"Norway",7573,7900
"Azerbaijan",7000,7000
"Oman",5373,5400
"Gabon",2000,2000
"Equatorial Guinea",1100,1100
"Turkmenistan",600,600
"Belarus",198,
"Republic of the Congo",,2900
"Denmark",340,400
"Trinidad and Tobago",,200
"Brunei",1100,1100